index,build,test_index,SIZE,LISTSorQUEUES_PER_CORE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
36,ROI,12,256,1,62,282.1,25918643.0,57228.2200224,0.0005054190268059,0.00018633641975309,58.0,0
37,ROI,12,256,1,62,281.29,25915342.0,57220.9070144,0.00068532839190361,0.00018392283950617,58.0,1
38,ROI,12,256,1,62,280.61,25950476.0,57298.5104832,0.00038574386720469,0.00018655054012346,58.0,2
39,ROI,13,256,1,53,267.95,23528597.0,51951.0012736,0.00070402963304539,0.00018629861111111,53.0,0
40,ROI,13,256,1,53,268.41999999999996,23537898.0,51971.5286656,0.00051822703500803,0.00018825848765432,53.0,1
41,ROI,13,256,1,53,268.68,23531679.0,51957.800176,0.00072513810145813,0.00018566705246914,53.0,2
42,ROI,14,256,1,56,270.75,24550030.0,54206.3254944,0.00051067124126325,0.00018822916666667,55.0,0
43,ROI,14,256,1,56,271.44,24552366.0,54211.4759776,0.00057679275815192,0.00018671180555556,55.0,1
44,ROI,14,256,1,56,272.02,24555958.0,54219.3968448,0.00055192370002943,0.00018720100308642,55.0,2
45,ROI,15,256,1,55,272.72999999999996,24148758.0,53320.3189248,0.00059505519906322,0.00018693479938272,54.0,0
46,ROI,15,256,1,55,270.02,24158161.0,53341.0818528,0.00050838938469722,0.00018358912037037,54.0,1
47,ROI,15,256,1,55,272.21999999999997,24147653.0,53317.876416,0.00072953420151212,0.00018673804012346,54.0,2
48,ROI,16,256,1,54,270.53000000000003,23943234.0,52866.5205888,0.00044118256197034,0.00018857793209877,54.0,0
49,ROI,16,256,1,54,273.04,23942077.0,52863.9675904,0.00071617890301001,0.00018594714506173,54.0,1
50,ROI,16,256,1,54,271.96,23951645.0,52885.0818208,0.00051076441886178,0.00018452893518519,54.0,2
51,ROI,17,512,1,100,255.57,17370917.0,73930.2588,0.00038097455955544,0.00058052314814815,75.0,0
52,ROI,17,512,1,100,254.98000000000005,17363793.0,73899.9522048,0.0005426454949562,0.00057926157407407,74.0,1
53,ROI,17,512,1,100,260.31,17673220.0,75216.8607296,0.00037209698625984,0.00057004899691358,76.0,2
54,ROI,18,512,1,75,255.23,17161600.0,73039.43192,0.00051572888656648,0.00024114544753086,74.0,0
55,ROI,18,512,1,75,259.85,17167921.0,73066.3266304,0.0003342327474456,0.00024154899691358,74.0,1
56,ROI,18,512,1,75,255.22,17167780.0,73065.7200416,0.00039803509322067,0.00024274305555556,74.0,2
57,ROI,19,512,1,72,254.57999999999998,16498056.0,70215.3901696,0.0003478896275364,0.00023963310185185,71.0,0
