index,build,test_index,SIZE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
56,ROI,18,512,100,250.92,17552707.0,74703.9860256,0.00040783334326511,0.0005354247685185199,76.0,2
57,ROI,19,512,76,250.36999999999998,17400306.0,74055.3627936,0.00044153280875936,0.00021208950617284,75.0,0
58,ROI,19,512,76,250.53000000000003,17403829.0,74070.3588288,0.00032579910458663,0.00020969791666667001,75.0,1
59,ROI,19,512,76,251.27,17401165.0,74059.0195488,0.0004282073954579,0.00021030169753086,75.0,2
60,ROI,20,512,73,245.88,16712656.0,71128.7065024,0.00045015655630087,0.00020520216049383,72.0,0
61,ROI,20,512,73,246.10999999999999,16713337.0,71131.6262944,0.00043970075660571,0.00020444714506173,72.0,1
62,ROI,20,512,73,245.59,16715686.0,71141.6015776,0.00033440027929921,0.00020643557098765002,72.0,2
63,ROI,21,512,70,249.61000000000007,16079466.0,68433.84592,0.00045717546449031,0.00021331018518519,70.0,0
64,ROI,21,512,70,250.17,16082964.0,68448.7276448,0.00037567882755041,0.00022253819444444,70.0,1
65,ROI,21,512,70,245.45000000000002,16081399.0,68442.0950272,0.00055966273067709,0.00023155439814815,70.0,2
66,ROI,22,512,72,244.83000000000004,16494050.0,70198.3026816,0.00050874276455748,0.00020489236111111,71.0,0
67,ROI,22,512,72,249.75,16495688.0,70205.2806112,0.00049901464345647,0.00020159490740741002,71.0,1
68,ROI,22,512,72,244.3,16496801.0,70210.0480864,0.0004366030545806,0.00020390509259259,71.0,2
69,ROI,23,512,71,244.80000000000004,16282928.0,69299.8059232,0.00059851417202672,0.00020375540123457,71.0,0
70,ROI,23,512,71,244.51999999999998,16288266.0,69322.4994944,0.00036245473872609,0.00020341820987654,71.0,1
71,ROI,23,512,71,245.20000000000002,16286881.0,69316.611536,0.00053195503314796,0.00020705362654320998,71.0,2
72,ROI,24,1024,100,250.73000000000002,11649263.0,97293.8760096,0.00027504044872761,0.00078533063271605,99.0,0
73,ROI,24,1024,100,251.08999999999997,11628479.0,97120.3012448,0.00038754445880584,0.00077164043209877,99.0,1
74,ROI,24,1024,100,245.67,11655713.0,97347.7717472,0.00026257475817637,0.00077462152777778,99.0,2
75,ROI,25,1024,99,250.10000000000002,11588882.0,96789.6008576,0.00038604862899905,0.00032118479938272,99.0,0
76,ROI,25,1024,99,245.55,11590102.0,96799.7905664,0.00039191362675939,0.0003171099537037,99.0,1
77,ROI,25,1024,99,250.16,11590550.0,96803.533584,0.00047451491833939,0.00032125192901235,99.0,2
