index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
97,local,45,0.1,256,4,5,102.0,0.2260192,0.99929542916552,,0
98,local,45,0.1,256,4,5,102.0,0.2259552,0.9992956157584,,1
99,local,46,100.0,1024,4,5,101.0,0.8493984,0.99999134581142,,0
100,local,46,100.0,1024,4,5,102.0,0.8511456,0.99999132115534,,1
101,local,47,0.1,1024,4,5,102.0,0.8536512,0.99929611722297,,0
102,local,47,0.1,1024,4,5,101.0,0.8505184,0.9992989239618,,1
103,local,48,100.0,64,16,5,102.0,0.0688128,0.99999816374756,,0
104,local,48,100.0,64,16,5,102.0,0.0688224,0.99999815570048,,1
105,local,49,0.1,64,16,5,102.0,0.0691072,0.99929471005014,,0
106,local,49,0.1,64,16,5,102.0,0.0688128,0.99929560800586,,1
107,local,50,100.0,256,16,5,102.0,0.2260992,0.99999769647042,,0
108,local,50,100.0,256,16,5,102.0,0.225072,0.99999770579289,,1
109,local,51,0.1,256,16,5,102.0,0.225216,0.99929814662543,,0
110,local,51,0.1,256,16,5,102.0,0.226384,0.99929479981947,,1
111,local,52,100.0,1024,16,5,101.0,0.84864,0.99999134531091,,0
112,local,52,100.0,1024,16,5,102.0,0.8535744,0.99999130416774,,1
113,local,53,0.1,1024,16,5,102.0,0.853024,0.99929676657123,,0
114,local,53,0.1,1024,16,5,101.0,0.8503104,0.99929896254713,,1
