index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE,LOSE-RATE,run_index
174,local,58,100,512,8,256,256,1,false,true,44.3576037376,0.49730194944474,0
175,local,58,100,512,8,256,256,1,false,true,44.8839647232,0.48299628538607,1
176,local,58,100,512,8,256,256,1,false,true,44.2690215936,0.49643537962893,2
177,local,59,100,1024,8,256,256,1,false,true,49.9565387776,0.47406410442433,0
178,local,59,100,1024,8,256,256,1,false,true,50.6076561408,0.46948968996595,1
179,local,59,100,1024,8,256,256,1,false,true,50.23133696,0.47366208237952,2
180,local,60,100,64,1,512,256,1,false,true,6.2495240192,0.76575327176347,0
181,local,60,100,64,1,512,256,1,false,true,6.2480142336,0.76592404597601,1
182,local,60,100,64,1,512,256,1,false,true,6.2325194752,0.76636189826067,2
183,local,61,100,128,1,512,256,1,false,true,8.1572179968,0.84368153160409,0
184,local,61,100,128,1,512,256,1,false,true,8.1412998144,0.84395084501377,1
185,local,61,100,128,1,512,256,1,false,true,8.1110124544,0.8445831061154,2
186,local,62,100,256,1,512,256,1,false,true,9.7849839616,0.88775484639924,0
187,local,62,100,256,1,512,256,1,false,true,9.7117519872,0.89000238279988,1
188,local,62,100,256,1,512,256,1,false,true,9.7230731264,0.88923114185399,2
189,local,63,100,512,1,512,256,1,false,true,10.7733827584,0.88292531119205,0
190,local,63,100,512,1,512,256,1,false,true,10.8131549184,0.88257592720626,1
191,local,63,100,512,1,512,256,1,false,true,10.8360019968,0.88224594395079,2
192,local,64,100,1024,1,512,256,1,false,true,11.6881965056,0.8777982642353,0
193,local,64,100,1024,1,512,256,1,false,true,11.6923465728,0.87775256285531,1
194,local,64,100,1024,1,512,256,1,false,true,11.6827897856,0.87779791873868,2
195,local,65,100,64,2,512,256,1,false,true,10.10316928,0.61363039579468,0
196,local,65,100,64,2,512,256,1,false,true,10.0913775104,0.61414885766226,1
197,local,65,100,64,2,512,256,1,false,true,10.1029490688,0.61350005559616,2
198,local,66,100,128,2,512,256,1,false,true,13.2669109248,0.74294344873516,0
199,local,66,100,128,2,512,256,1,false,true,13.3321529344,0.74156794313295,1
200,local,66,100,128,2,512,256,1,false,true,13.2877857792,0.74250949132075,2
201,local,67,100,256,2,512,256,1,false,true,16.4003688448,0.80452611652006,0
202,local,67,100,256,2,512,256,1,false,true,16.3253682176,0.80631394145643,1
203,local,67,100,256,2,512,256,1,false,true,16.4248909824,0.80628583419163,2
204,local,68,100,512,2,512,256,1,false,true,18.4646008832,0.79624767257865,0
205,local,68,100,512,2,512,256,1,false,true,18.5679413248,0.79467997618858,1
206,local,68,100,512,2,512,256,1,false,true,18.4868278272,0.79565255245866,2
207,local,69,100,1024,2,512,256,1,false,true,19.9394369536,0.79133796503368,0
208,local,69,100,1024,2,512,256,1,false,true,20.0624463872,0.78987220606714,1
209,local,69,100,1024,2,512,256,1,false,true,19.8371106816,0.792753274819,2
210,local,70,100,64,4,512,256,1,false,true,12.6431732736,0.51211302316143,0
211,local,70,100,64,4,512,256,1,false,true,12.5894707712,0.51436710846875,1
212,local,70,100,64,4,512,256,1,false,true,12.6127238144,0.5132201044503,2
213,local,71,100,128,4,512,256,1,false,true,16.9055746048,0.66273599930366,0
214,local,71,100,128,4,512,256,1,false,true,16.94005504,0.66205219308023,1
215,local,71,100,128,4,512,256,1,false,true,16.8876448768,0.6631628304722,2
216,local,72,100,256,4,512,256,1,false,true,19.9176433664,0.75767484524575,0
217,local,72,100,256,4,512,256,1,false,true,19.9038498816,0.7614806203969,1
218,local,72,100,256,4,512,256,1,false,true,19.9223730176,0.75872670919296,2
219,local,73,100,512,4,512,256,1,false,true,23.6573564928,0.73452011682689,0
220,local,73,100,512,4,512,256,1,false,true,23.3793142784,0.7386797245241,1
221,local,73,100,512,4,512,256,1,false,true,23.5124568064,0.73891939956936,2
222,local,74,100,1024,4,512,256,1,false,true,25.1860508672,0.73534545860724,0
223,local,74,100,1024,4,512,256,1,false,true,25.2362121216,0.7356229017118,1
224,local,74,100,1024,4,512,256,1,false,true,24.9661988864,0.73907229556312,2
225,local,75,100,64,8,512,256,1,false,true,13.65368448,0.47162122377335,0
226,local,75,100,64,8,512,256,1,false,true,13.61733888,0.47330659144784,1
227,local,75,100,64,8,512,256,1,false,true,13.6115978752,0.47341516043202,2
228,local,76,100,128,8,512,256,1,false,true,18.7262875648,0.62017863232349,0
229,local,76,100,128,8,512,256,1,false,true,18.7652173824,0.61860329773375,1
230,local,76,100,128,8,512,256,1,false,true,18.675633152,0.62107737199954,2
231,local,77,100,256,8,512,256,1,false,true,22.304541696,0.72574712814278,0
