index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
134,local,65,0.1,64,4,1024,256,16,true,0,145355.0,97.6877568,0.87854164946751,0.0011550694444444,1
135,local,65,0.1,64,4,1024,256,16,true,0,17654.0,14.6887104,,,2
136,local,66,100.0,1024,4,1024,256,16,true,0,11175939.0,93340.6950752,0.00040105816388059,0.0008965655864197501,0
137,local,66,100.0,1024,4,1024,256,16,true,0,11103649.0,92736.9511968,0.00037504223602702,0.00090468634259259,1
138,local,67,0.1,1024,4,1024,256,16,true,0,145290.0,1212.7554816,0.0001321317601396,0.0011599594907407,0
139,local,67,0.1,1024,4,1024,256,16,true,0,145320.0,1212.9977536,6.5368651671838e-05,0.001168337191358,1
140,local,68,100.0,64,16,1024,256,16,true,0,23762292.0,19032.5169024,0.53426141372937,0.0011886435185185001,0
141,local,68,100.0,64,16,1024,256,16,true,0,23287781.0,18883.0137984,0.54498726649913,0.0011861500771605,1
142,local,69,0.1,64,16,1024,256,16,true,0,145291.0,97.6452864,0.00013213030525538,0.0018348572530864,0
143,local,69,0.1,64,16,1024,256,16,true,0,145350.0,97.6844544,7.1546111468868e-05,0.0011978800154321,1
144,local,70,100.0,1024,16,1024,256,16,true,0,10967365.0,91598.7055584,0.00033005236128947,0.0015094313271605,0
145,local,70,100.0,1024,16,1024,256,16,true,0,11064276.0,92408.0761344,0.00041727741340181,0.0015034178240741001,1
146,local,71,0.1,1024,16,1024,256,16,true,0,145323.0,1213.0206336,4.6789967405259e-05,0.0015485200617284,0
147,local,71,0.1,1024,16,1024,256,16,true,0,145335.0,1213.1239456,0.00013690600680261,0.0015499402006173,1
148,local,72,100.0,64,1,64,256,1,false,0,1595500.0,1072.176576,0.970673946892,0.0055955825617284,0
149,local,72,100.0,64,1,64,256,1,false,0,1614498.0,1084.9435008,0.97014653300884,,1
150,local,72,100.0,64,1,64,256,1,false,0,759029.0,631.5123776,0.98620917699002,,2
151,local,73,0.1,64,1,64,256,1,false,0,145137.0,97.5415296,0.0014530563719825,0.00087938310185185,0
152,local,73,0.1,64,1,64,256,1,false,0,145167.0,97.5614208,0.0014692449071679,0.0008583950617284,1
153,local,74,100.0,1024,1,64,256,1,false,0,1839384.0,15362.4255104,0.84347006235107,0.0060637716049383,0
154,local,74,100.0,1024,1,64,256,1,false,0,1828719.0,15273.3390624,0.84440010135202,0.0060631847993827,1
155,local,75,0.1,1024,1,64,256,1,false,0,145074.0,1210.93848,0.0014983629507219,0.0011491662808642,0
156,local,75,0.1,1024,1,64,256,1,false,0,145124.0,1211.3607616,0.0015019705192704,0.0011528541666667,1
157,local,76,100.0,64,4,64,256,1,false,0,11911762.0,8004.7063296,0.76925236358414,0.0009615162037036999,0
158,local,76,100.0,64,4,64,256,1,false,0,11924688.0,8013.3929568,0.76860933221532,0.0011081693672839999,1
159,local,77,0.1,64,4,64,256,1,false,0,145355.0,97.6876896,6.8796988339503e-07,0.00078458217592593,0
160,local,77,0.1,64,4,64,256,1,false,0,145366.0,97.6953504,1.6509732487346e-05,0.00082015779320988,1
161,local,78,100.0,1024,4,64,256,1,false,0,11341294.0,94721.730832,0.0057048058446383,0.0007686929012345699,0
162,local,78,100.0,1024,4,64,256,1,false,0,11317540.0,94523.3443104,0.0033599704521831,0.0007097935956790099,1
163,local,79,0.1,1024,4,64,256,1,false,0,145336.0,1213.1378592,3.7841675932127e-05,0.0011778645833333,0
164,local,79,0.1,1024,4,64,256,1,false,0,145332.0,1213.0927456,3.0962585499728e-05,0.0012269351851852,1
165,local,80,100.0,64,16,64,256,1,false,0,8288374.0,5569.7866496,0.84078802070742,0.0039040744598765,0
166,local,80,100.0,64,16,64,256,1,false,0,8233661.0,5533.0202144,0.84180662733727,0.0038952804783951,1
167,local,81,0.1,64,16,64,256,1,false,0,145310.0,97.6579936,0.00013004930175908,0.0011723101851852,0
168,local,81,0.1,64,16,64,256,1,false,0,145352.0,97.6860672,5.5035470360676e-05,0.0011661361882716,1
169,local,82,100.0,1024,16,64,256,1,false,0,11162082.0,93224.9563072,0.00013832422149473,0.0006835513117284,0
170,local,82,100.0,1024,16,64,256,1,false,0,11168024.0,93274.5807904,0.00017066355220974,0.00067634722222222,1
171,local,83,0.1,1024,16,64,256,1,false,0,145302.0,1212.8419008,0.00015000973687052,0.001187731095679,0
172,local,83,0.1,1024,16,64,256,1,false,0,145330.0,1213.0800096,4.1971475909786e-05,0.0014505474537037,1
173,local,84,100.0,64,1,1024,256,1,false,0,5103929.0,3429.8409888,0.90522809432461,0.00064232947530864,0
174,local,84,100.0,64,1,1024,256,1,false,0,5106936.0,3431.8616448,0.90492062982086,0.0006696030092592601,1
175,local,85,0.1,64,1,1024,256,1,false,0,145219.0,97.5968416,0.00092670053331723,0.0011811138117284,0
176,local,85,0.1,64,1,1024,256,1,false,0,145233.0,97.6062432,0.00097265558362092,0.0011773043981481,1
177,local,86,100.0,1024,1,1024,256,1,false,0,4990042.0,41676.5403168,0.5584006546164,0.0011118144290123001,0
178,local,86,100.0,1024,1,1024,256,1,false,0,4969258.0,41502.9332432,0.56166361631953,0.0011026157407407,1
179,local,87,0.1,1024,1,1024,256,1,false,0,145175.0,1211.7880992,0.00097373529676903,0.001195474537037,0
180,local,87,0.1,1024,1,1024,256,1,false,0,145219.0,1212.1625664,0.00097275193862445,0.0011916662808642,1
181,local,88,100.0,64,4,1024,256,1,false,0,19893259.0,13368.2742144,0.614722789655,0.00054452044753086,0
182,local,88,100.0,64,4,1024,256,1,false,0,19958628.0,13412.2029504,0.61377006931314,0.0005464286265432101,1
183,local,89,0.1,64,4,1024,256,1,false,0,145324.0,97.6670752,0.00013141318714127,0.0011567422839506001,0
184,local,89,0.1,64,4,1024,256,1,false,0,145333.0,97.6733088,6.6050561704944e-05,0.0012109247685185,1
185,local,90,100.0,1024,4,1024,256,1,false,0,11234203.0,93827.3288736,0.00029824103462217,0.00086369945987654,0
186,local,90,100.0,1024,4,1024,256,1,false,0,11072702.0,92478.4534272,0.0003979196488485,0.00087348726851852,1
187,local,91,0.1,1024,4,1024,256,1,false,0,145279.0,1212.6498048,0.00013214194522582,0.0011740474537037002,0
188,local,91,0.1,1024,4,1024,256,1,false,0,145346.0,1213.2180384,0.00010387887860341,0.0011709961419753,1
189,local,92,100.0,64,16,1024,256,1,false,0,42917592.0,29627.8759072,0.039404882325353,0.00029326466049383,0
190,local,92,100.0,64,16,1024,256,1,false,0,43112460.0,29630.2651072,0.033834800923074,0.00028921180555555997,1
191,local,93,0.1,64,16,1024,256,1,false,0,145298.0,97.649872,0.00013143633767443,0.0011674513888889002,0
192,local,93,0.1,64,16,1024,256,1,false,0,145332.0,97.6726464,0.00016098406670517,0.0014513518518519,1
193,local,94,100.0,1024,16,1024,256,1,false,0,10890460.0,90956.3689664,0.00033999854399114,0.00149953125,0
194,local,94,100.0,1024,16,1024,256,1,false,0,10944148.0,91404.7764064,0.00036095760248889,0.0015057735339506,1
195,local,95,0.1,1024,16,1024,256,1,false,0,145303.0,1212.8623872,0.0001321201219634,0.0011825405092593,0
196,local,95,0.1,1024,16,1024,256,1,false,0,145302.0,1212.8419008,0.00019472870094628,0.0011759625771605,1
197,local,96,100.0,64,1,64,256,4,false,0,3134992.0,2106.71568,0.94136169291632,0.00077467824074074,0
198,local,96,100.0,64,1,64,256,4,false,0,3151644.0,2117.9054272,0.94089683521724,0.00079708101851852,1
199,local,97,0.1,64,1,64,256,4,false,0,145136.0,97.5410752,0.0015093986553005,0.0009365196759259299,0
200,local,97,0.1,64,1,64,256,4,false,0,145156.0,97.5541632,0.0014556160915745,0.0009284729938271601,1
201,local,98,100.0,1024,1,64,256,4,false,0,3332321.0,27831.3447072,0.71641277651147,0.0011672418981481,0
202,local,98,100.0,1024,1,64,256,4,false,0,3317143.0,27704.5600256,0.71775003012124,0.001167513117284,1
203,local,99,0.1,1024,1,64,256,4,false,0,145103.0,1211.1892608,0.0015111155762573,0.0013015949074074,0
204,local,99,0.1,1024,1,64,256,4,false,0,145129.0,1211.4031488,0.0014668809652242,0.0012984486882716,1
205,local,100,100.0,64,4,64,256,4,false,0,11220103.0,7539.9115104,0.78305971914493,0.00075920987654321,0
206,local,100,100.0,64,4,64,256,4,false,0,11256199.0,7564.1682432,0.78200861259109,0.0007474930555555599,1
207,local,101,0.1,64,4,64,256,4,false,0,145332.0,97.672576,2.4770204746338e-05,0.00081092554012346,0
208,local,101,0.1,64,4,64,256,4,false,0,145347.0,97.6823712,4.8160277402731e-06,0.00079810223765432,1
209,local,102,100.0,1024,4,64,256,4,false,0,11218267.0,93694.2161728,0.00041963908793041,0.00061728086419753,0
210,local,102,100.0,1024,4,64,256,4,false,0,11295939.0,94342.938592,0.00038313248928556,0.00061032716049383,1
211,local,103,0.1,1024,4,64,256,4,false,0,145336.0,1213.1397504,3.5777781447255e-05,0.0012338827160494,0
212,local,103,0.1,1024,4,64,256,4,false,0,145361.0,1213.3518912,3.7147306957808e-05,0.0012206477623456999,1
213,local,104,100.0,64,16,64,256,4,false,0,8295538.0,5574.6031968,0.84068795723756,0.0039776701388889,0
214,local,104,100.0,64,16,64,256,4,false,0,8272330.0,5559.0075936,0.84111942880475,0.0040030798611111,1
215,local,105,0.1,64,16,64,256,4,false,0,145352.0,97.6862848,0.00014307962381066,0.0015996122685185,0
216,local,105,0.1,64,16,64,256,4,false,0,145387.0,97.7092512,0.00012585485015704,0.0011697002314814998,1
217,local,106,100.0,1024,16,64,256,4,false,0,11287192.0,94269.8835232,0.00014242434096656,0.00071282600308642,0
218,local,106,100.0,1024,16,64,256,4,false,0,11209355.0,93619.775328,0.00016016197159852,0.0007431327160493799,1
219,local,107,0.1,1024,16,64,256,4,false,0,145291.0,1212.7558752,0.00013281848392865,0.0014413016975308999,0
