index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
112,local,57,0.1,256,1,64,256,4,true,145148.0,324.9957568,0.0015147689977278,0.0011251728395062,0
113,local,57,0.1,256,1,64,256,4,true,145148.0,324.99592,0.0015147679557099,0.0011847114197531,1
114,local,58,100.0,1024,1,64,256,4,true,1448056.0,12140.4199168,0.87676978146457,0.025683536651235,0
115,local,58,100.0,1024,1,64,256,4,true,1448128.0,12141.0058816,0.87679298735049,0.025649607638889,1
116,local,59,0.1,1024,1,64,256,4,true,145109.0,1215.8820384,0.001515176536645,0.0013545030864197999,0
117,local,59,0.1,1024,1,64,256,4,true,145124.0,1216.0042464,0.0015033383054729,0.0013699567901235,1
118,local,60,100.0,128,4,64,256,4,true,12270114.0,14920.4461088,0.75698057572384,0.00072935108024691,0
119,local,60,100.0,128,4,64,256,4,true,12318531.0,14979.3239008,0.75605163475265,0.0007194440586419799,1
120,local,61,0.1,128,4,64,256,4,true,145351.0,176.7078304,2.820676522064e-05,0.00074054783950617,0
121,local,61,0.1,128,4,64,256,4,true,145363.0,176.7228672,3.0268009465595e-05,0.0007237878086419799,1
122,local,62,100.0,256,4,64,256,4,true,10866525.0,24340.9788,0.72931563509506,0.00096634066358025,0
123,local,62,100.0,256,4,64,256,4,true,10860894.0,24328.360464,0.73399413853181,0.0009681651234567899,1
124,local,63,0.1,256,4,64,256,4,true,145340.0,325.42816,6.880342586002e-06,0.0006600162037037,0
125,local,63,0.1,256,4,64,256,4,true,145366.0,325.487072,2.0637392754708e-06,0.0006136774691358001,1
126,local,64,100.0,1024,4,64,256,4,true,5875592.0,49260.6102336,0.50003041210461,0.0047077384259259,0
127,local,64,100.0,1024,4,64,256,4,true,5967854.0,50034.1088384,0.49231367326313,0.005608049382716,1
128,local,65,0.1,1024,4,64,256,4,true,145353.0,1217.9264224,1.2383457901777e-05,0.0012018086419753,0
129,local,65,0.1,1024,4,64,256,4,true,145364.0,1218.0294592,1.582200111172e-05,0.0011908541666666998,1
130,local,66,100.0,128,16,64,256,4,true,20167890.0,24524.137232,0.58299397547506,0.001913981095679,0
131,local,66,100.0,128,16,64,256,4,true,20181826.0,24541.079216,0.58248534014841,0.0018967762345679,1
132,local,67,0.1,128,16,64,256,4,true,145297.0,176.6425792,8.4646850586623e-05,0.0012395235339506,0
133,local,67,0.1,128,16,64,256,4,true,145341.0,176.6961152,0.00013758791868002,0.0013960231481481,1
134,local,68,100.0,256,16,64,256,4,true,19123098.0,42835.657248,0.4646042594318,0.0022948287037037,0
135,local,68,100.0,256,16,64,256,4,true,18985190.0,42526.7536,0.46670954145995,0.0022449031635801996,1
136,local,69,0.1,256,16,64,256,4,true,145335.0,325.4157888,0.00013553006703582,0.0016833761574074,0
137,local,69,0.1,256,16,64,256,4,true,145364.0,325.482592,0.00014788178261516,0.0012347955246914,1
138,local,70,100.0,1024,16,64,256,4,true,7476820.0,62685.1834176,0.35727367736176,0.0059753722993827,0
139,local,70,100.0,1024,16,64,256,4,true,7539246.0,63208.7342848,0.35393273736323,0.0059442685185185,1
140,local,71,0.1,1024,16,64,256,4,true,145309.0,1217.5569632,0.00014036990221589,0.0012759255401235,0
141,local,71,0.1,1024,16,64,256,4,true,145309.0,1217.5613536,0.00013693012297566,0.0016412588734568,1
142,local,72,100.0,128,1,256,256,4,true,4043745.0,4917.1908736,0.92179351113118,0.00071255362654321,0
143,local,72,100.0,128,1,256,256,4,true,3990391.0,4852.3131904,0.92273229287505,0.00071791242283951,1
144,local,73,0.1,128,1,256,256,4,true,145150.0,176.4630816,0.0014591128511313,0.0012042384259258999,0
145,local,73,0.1,128,1,256,256,4,true,145150.0,176.4631296,0.0014556801796348,0.0012066207561728,1
146,local,74,100.0,256,1,256,256,4,true,3682346.0,8248.44344,0.9171115911028,0.00089474961419753,0
147,local,74,100.0,256,1,256,256,4,true,3688822.0,8262.9484608,0.9169723195997,0.0008941940586419799,1
148,local,75,0.1,256,1,256,256,4,true,145131.0,324.957392,0.0015005211576236,0.0013001516203704,0
149,local,75,0.1,256,1,256,256,4,true,145161.0,325.027424,0.001457623667571,0.0013001847993827,1
150,local,76,100.0,1024,1,256,256,4,true,2597790.0,21779.7096224,0.77890515822036,0.0015273101851852,0
151,local,76,100.0,1024,1,256,256,4,true,2485902.0,20841.6419072,0.78849367568709,0.0015645628858025,1
152,local,77,0.1,1024,1,256,256,4,true,145138.0,1216.116592,0.0014983911901753,0.0013797469135802,0
153,local,77,0.1,1024,1,256,256,4,true,145105.0,1215.847664,0.0014994164730752,0.0013845648148148,1
154,local,78,100.0,128,4,256,256,4,true,14755610.0,17942.80984,0.70825221907564,0.0006601763117284,0
155,local,78,100.0,128,4,256,256,4,true,14703722.0,17879.7097792,0.70937738497893,0.0006697662037037,1
156,local,79,0.1,128,4,256,256,4,true,145303.0,176.6497536,0.00013212003104823,0.0011726049382716,0
157,local,79,0.1,128,4,256,256,4,true,145343.0,176.697648,0.00013277161081549,0.0011709803240741,1
158,local,80,100.0,256,4,256,256,4,true,13120007.0,29388.76992,0.66389745738544,0.00089319483024691,0
159,local,80,100.0,256,4,256,256,4,true,13080370.0,29299.976336,0.66981327881927,0.0008938719135802499,1
160,local,81,0.1,256,4,256,256,4,true,145330.0,325.402928,0.00013209539764503,0.0011949502314815,0
161,local,81,0.1,256,4,256,256,4,true,145344.0,325.435408,7.7052202867467e-05,0.0011900821759259,1
162,local,82,100.0,1024,4,256,256,4,true,5411401.0,45368.8587552,0.53815398456016,0.0022776091820988,0
163,local,82,100.0,1024,4,256,256,4,true,5321513.0,44615.2100672,0.54595524724941,0.0023314683641974996,1
164,local,83,0.1,1024,4,256,256,4,true,145291.0,1217.4123168,0.00017066255608467,0.0012913171296296,0
165,local,83,0.1,1024,4,256,256,4,true,145290.0,1217.4047712,0.0001321317601396,0.0012944660493827,1
166,local,84,100.0,128,16,256,256,4,true,36332900.0,44183.396112,0.15899629320578,0.0014223337191358,0
167,local,84,100.0,128,16,256,256,4,true,36386203.0,44252.469376,0.15807952065491,0.0013966516203704,1
168,local,85,0.1,128,16,256,256,4,true,145315.0,176.6640864,0.0001458681805766,0.0011775023148148,0
169,local,85,0.1,128,16,256,256,4,true,145369.0,176.730528,7.4975512584841e-05,0.0019431851851852,1
170,local,86,100.0,256,16,256,256,4,true,18462193.0,41355.2394144,0.4848322869565,0.0026744996141974996,0
171,local,86,100.0,256,16,256,256,4,true,23158297.0,51874.488784,0.30532118754318,0.002598380787037,1
172,local,87,0.1,256,16,256,256,4,true,145322.0,325.386464,9.2888203886199e-05,0.0017347746913579998,0
173,local,87,0.1,256,16,256,256,4,true,145361.0,325.474496,8.6672756688944e-05,0.0019085536265432,1
174,local,88,100.0,1024,16,256,256,4,true,8806754.0,73835.2414592,0.21042793327251,0.0045829405864198,0
175,local,88,100.0,1024,16,256,256,4,true,8803650.0,73809.2333248,0.20706935631778,0.0045847515432098996,1
176,local,89,0.1,1024,16,256,256,4,true,145281.0,1217.330992,0.00014865477749615,0.0015887118055556,0
177,local,89,0.1,1024,16,256,256,4,true,145321.0,1217.6517024,0.00015136587057396,0.0020695293209877,1
178,local,90,100.0,128,1,1024,256,4,true,3180015.0,3866.8970144,0.93862578372873,0.00099996875,0
179,local,90,100.0,128,1,1024,256,4,true,3182726.0,3870.1931392,0.93852258521482,0.0011133885030864,1
180,local,91,0.1,128,1,1024,256,4,true,145214.0,176.540784,0.00093154775214221,0.0012018190586420001,0
181,local,91,0.1,128,1,1024,256,4,true,145225.0,176.5549056,0.00097683659037251,0.0012029911265432,1
182,local,92,100.0,256,1,1024,256,4,true,2928068.0,6558.8607968,0.93175292286308,0.0012411195987654,0
183,local,92,100.0,256,1,1024,256,4,true,2927789.0,6558.239168,0.93177020958909,0.0012351929012346,1
184,local,93,0.1,256,1,1024,256,4,true,145207.0,325.129008,0.00097214424886893,0.0013008476080247002,0
185,local,93,0.1,256,1,1024,256,4,true,145214.0,325.143424,0.00097141347540375,0.0013019807098765,1
186,local,94,100.0,1024,1,1024,256,4,true,2247703.0,18844.594224,0.80524296085836,0.0021327638888889,0
187,local,94,100.0,1024,1,1024,256,4,true,2253845.0,18896.1010464,0.80470852828078,0.0021460709876543003,1
188,local,95,0.1,1024,1,1024,256,4,true,145173.0,1216.4288736,0.0009771814371311,0.0013789830246914,0
189,local,95,0.1,1024,1,1024,256,4,true,145206.0,1216.7038688,0.0010161371104005,0.0013818217592593,1
190,local,96,100.0,128,4,1024,256,4,true,11587065.0,14089.8559776,0.77330753116644,0.0010027430555556,0
191,local,96,100.0,128,4,1024,256,4,true,11629593.0,14141.575872,0.77212071563234,0.0010218294753086,1
192,local,97,0.1,128,4,1024,256,4,true,145322.0,176.6731008,0.00013210257765151,0.0011727411265432,0
193,local,97,0.1,128,4,1024,256,4,true,145356.0,176.7132928,,0.0011722592592593002,1
194,local,98,100.0,256,4,1024,256,4,true,10011921.0,22426.671456,0.74917512489934,0.0013111296296296,0
195,local,98,100.0,256,4,1024,256,4,true,9997081.0,22393.429104,0.75059623527387,0.0012794722222221999,1
196,local,99,0.1,256,4,1024,256,4,true,145335.0,325.416624,0.00013277818750201,0.0011902650462963,0
197,local,99,0.1,256,4,1024,256,4,true,145369.0,325.493568,7.0160957490684e-05,0.0011887696759259,1
198,local,100,100.0,1024,4,1024,256,4,true,5298245.0,44420.151312,0.54057102851039,0.0027970424382716,0
199,local,100,100.0,1024,4,1024,256,4,true,5268582.0,44171.4347264,0.54313360910454,0.0028087827932099,1
200,local,101,0.1,1024,4,1024,256,4,true,145326.0,1217.6978896,6.8117688099445e-05,0.0013028383487654,0
201,local,101,0.1,1024,4,1024,256,4,true,145311.0,1217.567024,0.0001328008455217,0.0012948618827160001,1
202,local,102,100.0,128,16,1024,256,4,true,37758732.0,46074.9932896,0.11719566443512,0.0012464143518519,0
203,local,102,100.0,128,16,1024,256,4,true,37945114.0,46302.2119008,0.11261127802404,0.001230106867284,1
204,local,103,0.1,128,16,1024,256,4,true,145320.0,176.670864,0.00019264004931585,0.0017990887345679001,0
205,local,103,0.1,128,16,1024,256,4,true,145330.0,176.6822528,0.00017199247085764,0.0018884089506173,1
206,local,104,100.0,256,16,1024,256,4,true,135066.0,302.5493312,0.99696106408712,0.0023904822530863997,0
207,local,104,100.0,256,16,1024,256,4,true,8199434.0,18366.6967872,0.79781121321469,0.0027748360339506,1
208,local,105,0.1,256,16,1024,256,4,true,145302.0,325.341104,0.00014588102851631,0.0012471693672839999,0
209,local,105,0.1,256,16,1024,256,4,true,145344.0,325.43384,8.1867965546656e-05,0.0017682627314815,1
210,local,106,100.0,1024,16,1024,256,4,true,4275634.0,35846.6158368,0.63014565281586,0.004477327932098801,0
211,local,106,100.0,1024,16,1024,256,4,true,4124637.0,34580.6763104,0.64335695820358,0.0044019648919753,1
212,local,107,0.1,1024,16,1024,256,4,true,87264.0,731.2038976,0.39953746263645,0.065510280478395,0
213,local,107,0.1,1024,16,1024,256,4,true,87331.0,731.7673824,0.39918021057498,0.065121764274691,1
214,local,108,100.0,128,1,64,256,16,true,3341721.0,4063.5310176,0.93496867023711,0.0008232600308642,0
215,local,108,100.0,128,1,64,256,16,true,3341335.0,4063.0623744,0.93492359292338,0.0009371504629629599,1
216,local,109,0.1,128,1,64,256,16,true,145103.0,176.4071136,0.0015090501723056,0.0009870100308642,0
217,local,109,0.1,128,1,64,256,16,true,145180.0,176.5005824,0.0014636132539534,0.0010063676697531,1
218,local,110,100.0,256,1,64,256,16,true,2914734.0,6528.992528,0.93443781779281,0.0010565914351852,0
219,local,110,100.0,256,1,64,256,16,true,2919538.0,6539.75928,0.93433229584538,0.0010225929783951,1
220,local,111,0.1,256,1,64,256,16,true,145129.0,324.95336,0.0015129051011528,0.0011575590277778,0
221,local,111,0.1,256,1,64,256,16,true,145143.0,324.985872,0.0014997083136123,0.0010894452160494,1
222,local,112,100.0,1024,1,64,256,16,true,2152107.0,18043.135328,0.81686095440235,0.001689762345679,0
223,local,112,100.0,1024,1,64,256,16,true,2150124.0,18026.5142016,0.81705838662709,0.0017006635802469,1
224,local,113,0.1,1024,1,64,256,16,true,145103.0,1215.827344,0.0015159240840632,0.0012925428240741,0
225,local,113,0.1,1024,1,64,256,16,true,145129.0,1216.0480416,0.0015541250358605,0.0012959803240741,1
226,local,114,100.0,128,4,64,256,16,true,12057609.0,14662.039264,0.76123414140725,0.00079218788580247,0
227,local,114,100.0,128,4,64,256,16,true,12068443.0,14675.217216,0.76102133924708,0.00079987885802469,1
228,local,115,0.1,128,4,64,256,16,true,145354.0,176.7120128,2.8213131630039e-05,0.00076561882716049,0
229,local,115,0.1,128,4,64,256,16,true,145318.0,176.6681152,,0.0007857561728395099,1
230,local,116,100.0,256,4,64,256,16,true,10381719.0,23255.0124608,0.74609450027519,0.0010813595679012,0
231,local,116,100.0,256,4,64,256,16,true,10681774.0,23927.132816,0.73605005495968,0.0010609247685185001,1
232,local,117,0.1,256,4,64,256,16,true,145334.0,325.413792,8.9447900039064e-06,0.00063338541666667,0
233,local,117,0.1,256,4,64,256,16,true,145361.0,325.4718368,8.9431654953787e-06,0.00062614236111111,1
234,local,118,100.0,1024,4,64,256,16,true,4982640.0,41774.1479488,0.5760303791404,0.003844625,0
235,local,118,100.0,1024,4,64,256,16,true,5016300.0,42056.344016,0.57318371923621,0.0036870790895062,1
236,local,119,0.1,1024,4,64,256,16,true,145320.0,1217.6527392,1.7203046177805e-05,0.0012093672839506,0
237,local,119,0.1,1024,4,64,256,16,true,145338.0,1217.7967456,3.2337254168069e-05,0.0011879359567900998,1
238,local,120,100.0,128,16,64,256,16,true,16886922.0,20534.4826144,0.65866582994302,0.0026814212962963002,0
239,local,120,100.0,128,16,64,256,16,true,16742795.0,20359.222288,0.66155186161084,0.002853649691358,1
240,local,121,0.1,128,16,64,256,16,true,145349.0,176.7057632,8.3240690801456e-05,0.0012045941358025,0
241,local,121,0.1,128,16,64,256,16,true,145347.0,176.7029664,9.9751241043e-05,0.0012319077932099,1
242,local,122,100.0,256,16,64,256,16,true,12992798.0,29103.819824,0.66728486456727,0.0037800381944443997,0
243,local,122,100.0,256,16,64,256,16,true,13054453.0,29241.926032,0.66287679370812,0.0038474035493827,1
244,local,123,0.1,256,16,64,256,16,true,145328.0,325.399456,0.00014104003610627,0.0011886493055556,0
245,local,123,0.1,256,16,64,256,16,true,145343.0,325.4316,0.00013277161081549,0.0012003603395062,1
246,local,124,100.0,1024,16,64,256,16,true,5920982.0,49641.1122496,0.49596940306305,0.0082898206018519,0
247,local,124,100.0,1024,16,64,256,16,true,5908935.0,49540.339792,0.49708039584437,0.008310067901234602,1
248,local,125,0.1,1024,16,64,256,16,true,145299.0,1217.466416,0.00017065327864174,0.0016149702932099,0
249,local,125,0.1,1024,16,64,256,16,true,145316.0,1217.6197664,0.00013142033038105,0.0012731381172839998,1
250,local,126,100.0,128,1,256,256,16,true,3825136.0,4651.3637696,0.92605486244558,0.00077684104938272,0
251,local,126,100.0,128,1,256,256,16,true,3842655.0,4672.6658944,0.92556344568597,0.00081289313271605,1
252,local,127,0.1,128,1,256,256,16,true,145142.0,176.4547072,0.0014997165673276,0.0012044459876543,0
