index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
50,local,34,100.0,1024,6,256,256,1,2939673.0,24551.9635488,0.74987462775362,0.0098693348765432,1
51,local,36,100.0,64,1,1024,256,1,2628710.0,1766.4940672,0.95188728354411,0.001572143132716,0
52,local,36,100.0,64,1,1024,256,1,2689638.0,1807.43736,0.95077602557641,0.001859425154321,1
53,local,37,0.1,64,1,1024,256,1,145219.0,97.5965568,0.001015359723514,0.0011533950617284,0
54,local,37,0.1,64,1,1024,256,1,145201.0,97.585024,0.0010161706671363,0.0011560821759259,1
55,local,38,100.0,256,1,1024,256,1,2668236.0,5891.4576384,0.93760807876924,0.0015329012345679,0
56,local,38,100.0,256,1,1024,256,1,2662583.0,5878.9724768,0.93770128723265,0.0013888252314815,1
57,local,39,0.1,256,1,1024,256,1,145221.0,320.511024,0.00088407596861362,0.0011540991512346,0
58,local,39,0.1,256,1,1024,256,1,145232.0,320.5383552,0.0008393278772435,0.001157143132716,1
59,local,40,100.0,1024,1,1024,256,1,2646835.0,22106.1934432,0.76843261795324,0.0019408040123457,0
60,local,40,100.0,1024,1,1024,256,1,2662604.0,22237.897824,0.76714478072924,0.0019472527006173,1
61,local,41,0.1,1024,1,1024,256,1,145309.0,1212.91584,0.00013280230759494,0.0011626161265432,0
62,local,41,0.1,1024,1,1024,256,1,145324.0,1213.0242592,0.00013210112341,0.0011641030092593,1
63,local,42,100.0,64,3,1024,256,1,3588505.0,2411.4765312,0.933793439155,0.021003227623457,0
64,local,42,100.0,64,3,1024,256,1,3572736.0,2400.879312,0.93394196343274,0.018655236111111,1
65,local,43,0.1,64,3,1024,256,1,145349.0,97.6839936,0.00013276576541876,0.0011198958333333,0
66,local,44,100.0,256,3,1024,256,1,3533721.0,7802.4446208,0.916516537566,0.014576109567900999,0
67,local,44,100.0,256,3,1024,256,1,3528704.0,7791.3697888,0.91674213727822,0.017941853780864,1
68,local,46,100.0,1024,3,1024,256,1,3553177.0,29675.9042112,0.68830038943661,0.019042107253086,0
69,local,46,100.0,1024,3,1024,256,1,3514675.0,29354.3458176,0.69088793342495,0.018128106481481002,1
70,local,48,100.0,64,6,1024,256,1,3597724.0,2417.6704608,0.93388423310967,0.029687074074074,0
71,local,48,100.0,64,6,1024,256,1,3656908.0,2457.4433664,0.93230472640584,0.026120376543210002,1
72,local,50,100.0,256,6,1024,256,1,3554304.0,7847.8928608,0.91602929479209,0.024593414351852,0
73,local,50,100.0,256,6,1024,256,1,3621376.0,7995.985104,0.91458475896936,0.025247398148148,1
74,local,52,100.0,1024,6,1024,256,1,3199192.0,26719.436624,0.71945747520578,0.0091760625,0
75,local,52,100.0,1024,6,1024,256,1,3193548.0,26672.334528,0.72044631580267,0.0092647743055556,1
76,local,54,100.0,64,1,64,256,4,2394220.0,1608.9170368,0.95599774719695,0.0094838171296296,0
77,local,54,100.0,64,1,64,256,4,2490425.0,1673.566272,0.95417584730378,,1
78,local,55,0.1,64,1,64,256,4,145238.0,97.6094592,0.00088328040988617,0.00044164660493827,0
79,local,55,0.1,64,1,64,256,4,145236.0,97.6076544,0.00086405212931062,0.00043733063271605,1
80,local,56,100.0,256,1,64,256,4,2358464.0,5207.479296,0.94694570679985,0.014801508487654,0
81,local,56,100.0,256,1,64,256,4,2318828.0,5119.9660704,0.94784791732948,0.015195586419753,1
82,local,57,0.1,256,1,64,256,4,145240.0,320.5531968,0.00066466350206107,0.00083945331790123,0
83,local,57,0.1,256,1,64,256,4,145265.0,320.609136,0.00066660979730659,0.00079899807098765,1
84,local,58,100.0,1024,1,64,256,4,2313228.0,19319.9438848,0.80322439996484,0.014090263117283999,0
85,local,58,100.0,1024,1,64,256,4,2313792.0,19324.6626144,0.80312865872524,0.014965388888889,1
86,local,59,0.1,1024,1,64,256,4,145309.0,1212.91584,,0.0011028001543210001,0
87,local,59,0.1,1024,1,64,256,4,145335.0,1213.1302656,,0.0011014197530864,1
88,local,60,100.0,64,3,64,256,4,2454963.0,1649.7356256,0.95460116305686,0.025656113425926,0
89,local,60,100.0,64,3,64,256,4,2458611.0,1652.18712,0.95446462383743,0.02592336882716,1
90,local,61,0.1,64,3,64,256,4,145367.0,97.695744,,0.00043680979938272,0
91,local,62,100.0,256,3,64,256,4,2447353.0,5403.7499808,0.94494215154939,0.027178951388889,0
92,local,62,100.0,256,3,64,256,4,2458777.0,5428.9733088,0.94469582280357,0.026750613425926,1
93,local,64,100.0,1024,3,64,256,4,2375526.0,19840.2655744,0.79786268488423,0.026951872685185,0
94,local,64,100.0,1024,3,64,256,4,2321388.0,19388.095008,0.8024762891271,0.026704339891975,1
95,local,66,100.0,64,6,64,256,4,2701715.0,1815.5529216,0.94918854208428,,0
96,local,66,100.0,64,6,64,256,4,2655040.0,1784.1872352,0.95077510812849,,1
97,local,68,100.0,256,6,64,256,4,2555126.0,5641.7103136,0.94252080545491,0.025336734567901,0
98,local,68,100.0,256,6,64,256,4,2541536.0,5611.702272,0.94282688641467,,1
99,local,70,100.0,1024,6,64,256,4,2137105.0,17848.5710528,0.81814408882858,0.029266213348765,0
100,local,70,100.0,1024,6,64,256,4,2162169.0,18057.998352,0.81605028025162,0.028601346450617,1
101,local,72,100.0,64,1,256,256,4,2480921.0,1667.1796992,0.95457081394145,0.0011585038580247,0
102,local,72,100.0,64,1,256,256,4,2546073.0,1710.9618144,0.95329266866505,,1
103,local,73,0.1,64,1,256,256,4,145197.0,97.5817888,0.00086084457729851,0.0011529432870369999,0
104,local,73,0.1,64,1,256,256,4,145239.0,97.6100736,0.00088327554895162,0.0011520582561727998,1
105,local,74,100.0,256,1,256,256,4,2520652.0,5565.5918784,0.94299036842382,0.0012047241512346,0
106,local,74,100.0,256,1,256,256,4,2479436.0,5474.5872384,0.9440102161751,0.0012161396604938,1
107,local,75,0.1,256,1,256,256,4,145229.0,320.5306752,0.00086683787861386,0.0011509513888889001,0
108,local,75,0.1,256,1,256,256,4,145256.0,320.5891872,0.00086118188271422,0.0011530779320988,1
109,local,76,100.0,1024,1,256,256,4,2516998.0,21021.808752,0.78579878150005,0.0015478109567901,0
110,local,76,100.0,1024,1,256,256,4,2516849.0,21020.5571264,0.78583800724219,0.0016469699074074,1
111,local,77,0.1,1024,1,256,256,4,145316.0,1212.970192,0.00013210766774918,0.0011645324074074,0
112,local,77,0.1,1024,1,256,256,4,145336.0,1213.13088,,0.0011633587962963,1
113,local,78,100.0,64,3,256,256,4,3193753.0,2146.203024,0.94095474102575,0.02301063117284,0
114,local,78,100.0,64,3,256,256,4,3204608.0,2153.4971232,0.94056291615047,0.013664914351852,1
115,local,80,100.0,256,3,256,256,4,3181568.0,7024.8917728,0.92785137393657,0.023523874614198,0
116,local,80,100.0,256,3,256,256,4,3190092.0,7043.7161184,0.92805183227978,0.012819721064815,1
117,local,82,100.0,1024,3,256,256,4,3307494.0,27623.9766112,0.71854262242312,0.016618873070988,0
