index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
64,local,40,100.0,64,4,1024,256,4,true,true,0,10913812.0,7334.0819872,0.79428650936515,0.0014979351851852,0
65,local,40,100.0,64,4,1024,256,4,true,true,0,10798403.0,7256.5290912,0.79610285345816,0.0014825011574073998,1
66,local,41,0.1,64,4,1024,256,4,true,true,0,145281.0,97.6380192,0.00028832305393978,0.0020412226080247,0
67,local,41,0.1,64,4,1024,256,4,true,true,0,145319.0,97.6635072,0.00016650245763128,0.0019382527006173,1
68,local,42,100.0,1024,4,1024,256,4,true,true,0,5511126.0,46028.5794336,0.52330356025268,0.0023815655864198003,0
69,local,42,100.0,1024,4,1024,256,4,true,true,0,5546167.0,46321.2182912,0.52004253959904,0.0023673078703704,1
70,local,43,0.1,1024,4,1024,256,4,true,true,0,145281.0,1212.6836544,0.00023534933204139,0.0019860281635802,0
71,local,43,0.1,1024,4,1024,256,4,true,true,0,145307.0,1212.8853312,0.00015894816225648,0.0020707970679012,1
72,local,44,100.0,64,16,1024,256,4,true,true,0,,0.0002848,0.99999999820811,,0
73,local,44,100.0,64,16,1024,256,4,true,true,0,,,1.0,,1
74,local,45,0.1,64,16,1024,256,4,true,true,0,,0.0002848,1.0,,0
75,local,45,0.1,64,16,1024,256,4,true,true,0,,,0.99999931206041,,1
76,local,46,100.0,1024,16,1024,256,4,true,true,0,,,1.0,,0
77,local,46,100.0,1024,16,1024,256,4,true,true,0,,,1.0,,1
78,local,47,0.1,1024,16,1024,256,4,true,true,0,,,1.0,,0
79,local,47,0.1,1024,16,1024,256,4,true,true,0,,,1.0,,1
80,local,48,100.0,64,1,64,256,16,true,true,0,3882297.0,2608.9031904,0.92680495058478,0.00072129436728395,0
81,local,48,100.0,64,1,64,256,16,true,true,0,3890281.0,2614.2697344,0.92661651756012,0.00072125540123457,1
82,local,49,0.1,64,1,64,256,16,true,true,0,145162.0,97.5579168,0.0012412069705743,0.00076979205246914,0
83,local,49,0.1,64,1,64,256,16,true,true,0,145214.0,97.5936256,0.0011033526374187,0.00080144020061728,1
84,local,50,100.0,1024,1,64,256,16,true,true,0,3964714.0,33113.059552,0.66259788014354,0.0011140775462962999,0
85,local,50,100.0,1024,1,64,256,16,true,true,0,3964121.0,33108.0925728,0.66269662390354,0.001102318287037,1
86,local,51,0.1,1024,1,64,256,16,true,true,0,145211.0,1212.0843744,0.00064209898234535,0.0012303433641975001,0
87,local,51,0.1,1024,1,64,256,16,true,true,0,145248.0,1212.4039392,0.00068593995101407,0.0012339417438272,1
88,local,52,100.0,64,4,64,256,16,true,true,0,,0.0002848,0.99999999820704,,0
89,local,52,100.0,64,4,64,256,16,true,true,0,,,1.0,,1
90,local,53,0.1,64,4,64,256,16,true,true,0,,0.0002848,1.0,,0
91,local,53,0.1,64,4,64,256,16,true,true,0,,,0.99999931209401,,1
92,local,54,100.0,1024,4,64,256,16,true,true,0,,,1.0,,0
93,local,54,100.0,1024,4,64,256,16,true,true,0,,,1.0,,1
94,local,55,0.1,1024,4,64,256,16,true,true,0,,,1.0,,0
95,local,55,0.1,1024,4,64,256,16,true,true,0,,,1.0,,1
96,local,56,100.0,64,16,64,256,16,true,true,0,,0.0002848,0.99999999820521,,0
97,local,56,100.0,64,16,64,256,16,true,true,0,,,1.0,,1
98,local,57,0.1,64,16,64,256,16,true,true,0,,0.0002848,1.0,,0
99,local,57,0.1,64,16,64,256,16,true,true,0,,,0.99999931203012,,1
100,local,58,100.0,1024,16,64,256,16,true,true,0,,,1.0,,0
101,local,58,100.0,1024,16,64,256,16,true,true,0,,,1.0,,1
102,local,59,0.1,1024,16,64,256,16,true,true,0,,,1.0,,0
103,local,59,0.1,1024,16,64,256,16,true,true,0,,,1.0,,1
104,local,60,100.0,64,1,1024,256,16,true,true,0,4283424.0,2878.460096,0.92071954937259,0.00082307060185185,0
105,local,60,100.0,64,1,1024,256,16,true,true,0,4258642.0,2861.8082208,0.92084224323213,0.00084392206790123,1
106,local,61,0.1,64,1,1024,256,16,true,true,0,145175.0,97.5669888,0.0011036502337,0.0019179286265431999,0
107,local,61,0.1,64,1,1024,256,16,true,true,0,145227.0,97.6022272,0.00083935617253583,0.0018916759259259,1
108,local,62,100.0,1024,1,1024,256,16,true,true,0,4172685.0,34850.0057472,0.63369006228038,0.0013087388117283998,0
109,local,62,100.0,1024,1,1024,256,16,true,true,0,4092109.0,34177.0396992,0.64102614622262,0.0013191157407407,1
110,local,63,0.1,1024,1,1024,256,16,true,true,0,145223.0,1212.1915008,0.00072937703632092,0.0019396400462963,0
111,local,63,0.1,1024,1,1024,256,16,true,true,0,145292.0,1212.7600512,0.00043823440380863,0.0018942206790123,1
112,local,64,100.0,64,4,1024,256,16,true,true,0,,,1.0,,0
113,local,64,100.0,64,4,1024,256,16,true,true,0,,,1.0,,1
114,local,65,0.1,64,4,1024,256,16,true,true,0,,0.0002848,1.0,,0
115,local,65,0.1,64,4,1024,256,16,true,true,0,,,0.99999931211719,,1
116,local,66,100.0,1024,4,1024,256,16,true,true,0,,,1.0,,0
117,local,66,100.0,1024,4,1024,256,16,true,true,0,,,1.0,,1
118,local,67,0.1,1024,4,1024,256,16,true,true,0,,,1.0,,0
119,local,67,0.1,1024,4,1024,256,16,true,true,0,,,1.0,,1
120,local,68,100.0,64,16,1024,256,16,true,true,0,,,1.0,,0
121,local,68,100.0,64,16,1024,256,16,true,true,0,,,1.0,,1
122,local,69,0.1,64,16,1024,256,16,true,true,0,,0.0002848,1.0,,0
123,local,69,0.1,64,16,1024,256,16,true,true,0,,,0.99999931187863,,1
124,local,70,100.0,1024,16,1024,256,16,true,true,0,,,1.0,,0
125,local,70,100.0,1024,16,1024,256,16,true,true,0,,,1.0,,1
126,local,71,0.1,1024,16,1024,256,16,true,true,0,,,1.0,,0
127,local,71,0.1,1024,16,1024,256,16,true,true,0,,,1.0,,1
128,local,72,100.0,64,1,64,256,1,false,true,0,2675027.0,1797.618624,0.95022971247283,0.0036278294753086,0
129,local,72,100.0,64,1,64,256,1,false,true,0,2674448.0,1797.2293728,0.95001786870239,,1
130,local,73,0.1,64,1,64,256,1,false,true,0,145167.0,97.5614208,0.00129888088478,0.00082754822530864,0
131,local,73,0.1,64,1,64,256,1,false,true,0,145193.0,97.5795136,0.0012924606690256,0.00080990239197531,1
132,local,74,100.0,1024,1,64,256,1,false,true,0,2782379.0,23238.2458752,0.76319201462195,0.0042306859567901,0
133,local,74,100.0,1024,1,64,256,1,false,true,0,2781217.0,23228.567856,0.76335542055986,0.004231576388888899,1
134,local,75,0.1,1024,1,64,256,1,false,true,0,145180.0,1211.829024,0.00067594403293536,0.0012270428240741,0
135,local,75,0.1,1024,1,64,256,1,false,true,0,145248.0,1212.403104,0.00064262399753412,0.001225800154321,1
136,local,76,100.0,64,4,64,256,1,false,true,0,6088621.0,4091.5547136,0.88596972464741,0.0077577094907407,0
137,local,76,100.0,64,4,64,256,1,false,true,0,6108562.0,4104.9547968,0.88535401455192,0.0077698171296296,1
138,local,77,0.1,64,4,64,256,1,false,true,0,145313.0,97.6598688,2.6837786226697e-05,0.0010672905092593001,0
139,local,77,0.1,64,4,64,256,1,false,true,0,145357.0,97.6895872,3.3708854559333e-05,0.0010083418209877,1
140,local,78,100.0,1024,4,64,256,1,false,true,0,6512444.0,54391.5386784,0.44580786101822,0.009091297453703701,0
141,local,78,100.0,1024,4,64,256,1,false,true,0,6512978.0,54396.0047904,0.44586164503037,0.009100630787037,1
142,local,79,0.1,1024,4,64,256,1,false,true,0,145320.0,1212.9964128,2.2707895948271e-05,0.0010743325617284,0
143,local,79,0.1,1024,4,64,256,1,false,true,0,145323.0,1213.0292064,3.9221217990826e-05,0.0010913240740741,1
144,local,80,100.0,64,16,64,256,1,false,true,0,6224782.0,4183.0540512,0.88359623518315,0.009183037808642,0
145,local,80,100.0,64,16,64,256,1,false,true,0,6101845.0,4100.4396192,0.88548770099952,0.00920903125,1
146,local,81,0.1,64,16,64,256,1,false,true,0,145322.0,97.6657824,0.00014242162166622,0.0015173919753086,0
147,local,81,0.1,64,16,64,256,1,false,true,0,145349.0,97.6838752,8.5992449175065e-05,0.0015525516975309,1
148,local,82,100.0,1024,16,64,256,1,false,true,0,6704702.0,55997.1642496,0.42904580329162,0.012181760030863999,0
149,local,82,100.0,1024,16,64,256,1,false,true,0,6676039.0,55758.002736,0.43163054248578,0.010846906635802001,1
150,local,83,0.1,1024,16,64,256,1,false,true,0,145283.0,1212.688224,0.0001445238867015,0.0016200331790123,0
151,local,83,0.1,1024,16,64,256,1,false,true,0,145331.0,1213.0866144,0.00012521534286991,0.001603168595679,1
152,local,84,100.0,64,1,1024,256,1,false,true,0,3461726.0,2326.280592,0.93589305782093,0.0010987824074073999,0
153,local,84,100.0,64,1,1024,256,1,false,true,0,3457373.0,2323.3555008,0.93587282941143,0.00097372916666667,1
154,local,85,0.1,64,1,1024,256,1,false,true,0,145246.0,97.6148448,0.00070794877175362,0.0019576006944444,0
155,local,85,0.1,64,1,1024,256,1,false,true,0,145251.0,97.6183456,0.00097047446641096,0.0019598175154321,1
156,local,86,100.0,1024,1,1024,256,1,false,true,0,3454095.0,28848.3711168,0.69619141411193,0.0014555489969136,0
157,local,86,100.0,1024,1,1024,256,1,false,true,0,3449546.0,28810.3997856,0.69771238509533,0.0014517982253086,1
158,local,87,0.1,1024,1,1024,256,1,false,true,0,145270.0,1212.576592,0.00036814316158595,0.0019172646604938,0
159,local,87,0.1,1024,1,1024,256,1,false,true,0,145270.0,1212.5851776,0.00040459977650675,0.0019287411265431998,1
160,local,88,100.0,64,4,1024,256,1,false,true,0,8708546.0,5852.144976,0.83679644995121,0.0076686458333333,0
161,local,88,100.0,64,4,1024,256,1,false,true,0,8712779.0,5854.9895232,0.83651337652006,0.0086369340277778,1
162,local,89,0.1,64,4,1024,256,1,false,true,0,145313.0,97.6597248,0.0001926495924085,0.0019467939814814999,0
163,local,89,0.1,64,4,1024,256,1,false,true,0,145337.0,97.6760544,0.00016372962322919,0.0019584089506173,1
164,local,90,100.0,1024,4,1024,256,1,false,true,0,8429777.0,70404.9382656,0.22945186174232,0.0077687461419752996,0
165,local,90,100.0,1024,4,1024,256,1,false,true,0,8430990.0,70415.0541504,0.21987807451632,0.0079254297839506,1
166,local,91,0.1,1024,4,1024,256,1,false,true,0,145280.0,1212.6617824,0.00016585836521466,0.0020020551697531,0
167,local,91,0.1,1024,4,1024,256,1,false,true,0,145300.0,1212.82312,0.00024494963395172,0.0019327345679012,1
168,local,92,100.0,64,16,1024,256,1,false,true,0,9044951.0,6080.7484448,0.82918477561,0.0096954591049383,0
169,local,92,100.0,64,16,1024,256,1,false,true,0,9085545.0,6108.0692192,0.82844198240691,0.010502527391975,1
170,local,93,0.1,64,16,1024,256,1,false,true,0,145305.0,97.65456,0.00016926958796615,0.0020569459876543,0
171,local,93,0.1,64,16,1024,256,1,false,true,0,145303.0,97.6518656,0.00013212003104823,0.0019693661265432,1
172,local,94,100.0,1024,16,1024,256,1,false,true,0,9890348.0,82603.527776,0.091536984689731,0.0058476786265432,0
173,local,94,100.0,1024,16,1024,256,1,false,true,0,9890125.0,82601.65656,0.079327045548615,0.005523140817901199,1
174,local,95,0.1,1024,16,1024,256,1,false,true,0,145303.0,1212.8513728,0.00014175232016211,0.0019197299382716002,0
175,local,95,0.1,1024,16,1024,256,1,false,true,0,145318.0,1212.9910848,0.00020227316509347,0.0021201516203704,1
176,local,96,100.0,64,1,64,256,4,false,true,0,3247500.0,2182.32096,0.93922396832576,0.00075452469135802,0
177,local,96,100.0,64,1,64,256,4,false,true,0,3236860.0,2175.1709376,0.93923952295377,0.0007560887345679,1
