index,build,test_index,SIZE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index,GPU-POWER
62,ROI,0,64,145299.0,97.6410624,0.00064927204498688,0.0,0.0,2,248.26000000000002
63,ROI,1,128,82518.0,97.666128,0.0,0.00010069984567901,0.0,0,248.79
64,ROI,1,128,82537.0,97.688576,0.0,9.9935570987654e-05,0.0,1,247.67
65,ROI,1,128,82530.0,97.6804608,0.0,0.00010079552469136,0.0,2,254.45
66,ROI,2,256,44294.0,97.6912896,0.0,0.0001337299382716,0.0,0,254.64999999999998
67,ROI,2,256,44301.0,97.7058816,0.0,0.00013110262345679,0.0,1,247.38999999999996
68,ROI,2,256,44306.0,97.719376,0.0,0.00013350887345679,0.0,2,254.07999999999998
69,ROI,3,512,22997.0,97.6685824,0.0,0.00019737345679012,0.0,0,248.06
70,ROI,3,512,22991.0,97.6412672,0.0,0.00019620640432099,0.0,1,254.53999999999996
71,ROI,3,512,23003.0,97.6950528,0.0,0.00019864351851852,0.0,2,248.81
72,ROI,4,1024,11747.0,97.6518144,0.0,0.00032013580246914,0.0,0,254.2
73,ROI,4,1024,11746.0,97.6513312,0.0,0.0003219525462963,0.0,1,247.8
74,ROI,4,1024,11740.0,97.5975168,0.0,0.00032142168209877,0.0,2,247.48000000000002
