index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
73,CPU version,36,100.0,64,1,5,1744.0,1.1719776,0.99996872676866,,1
74,CPU version,37,0.1,64,1,5,1744.0,1.1719872,0.98800027797521,,0
75,CPU version,37,0.1,64,1,5,1744.0,1.1719872,0.98800345588519,,1
76,CPU version,38,100.0,256,1,5,1745.0,3.8542848,0.99996073370158,,0
77,CPU version,38,100.0,256,1,5,1742.0,3.8472944,0.99996080877676,,1
78,CPU version,39,0.1,256,1,5,1741.0,3.8453088,0.98801573588377,,0
79,CPU version,39,0.1,256,1,5,1742.0,3.8482432,0.98801102251278,,1
80,CPU version,40,100.0,1024,1,5,1744.0,14.5683936,0.99985157080137,,0
81,CPU version,40,100.0,1024,1,5,1744.0,14.5692288,0.99985157555602,,1
82,CPU version,41,0.1,1024,1,5,1743.0,14.5609536,0.98800318997484,,0
83,CPU version,41,0.1,1024,1,5,1745.0,14.5809216,0.98798783508559,,1
84,CPU version,42,100.0,64,4,5,1743.0,1.1716992,0.99996883403152,,0
85,CPU version,42,100.0,64,4,5,1744.0,1.171968,0.99996862909221,,1
86,CPU version,43,0.1,64,4,5,1743.0,1.1716992,0.98800607538095,,0
87,CPU version,43,0.1,64,4,5,1743.0,1.1719936,0.98800393516607,,1
88,CPU version,44,100.0,256,4,5,1746.0,3.855168,0.9999607218581,,0
89,CPU version,44,100.0,256,4,5,1748.0,3.8604672,0.99996067413379,,1
90,CPU version,45,0.1,256,4,5,1745.0,3.8532576,0.98799149248299,,0
91,CPU version,45,0.1,256,4,5,1742.0,3.846192,0.98801456691099,,1
92,CPU version,46,100.0,1024,4,5,1742.0,14.5516896,0.99985173397175,,0
93,CPU version,46,100.0,1024,4,5,1745.0,14.5734816,0.99985149948375,,1
94,CPU version,47,0.1,1024,4,5,1748.0,14.6060544,0.9879670930371,,0
95,CPU version,47,0.1,1024,4,5,1743.0,14.5629088,0.98800218242214,,1
96,CPU version,48,100.0,64,16,5,1744.0,1.171968,0.99996883260505,,0
97,CPU version,48,100.0,64,16,5,1743.0,1.1716992,0.99996873089736,,1
98,CPU version,49,0.1,64,16,5,1743.0,1.1717088,0.98800303020503,,0
99,CPU version,49,0.1,64,16,5,1743.0,1.1717088,0.98800567934798,,1
100,CPU version,50,100.0,256,16,5,1742.0,3.8470752,0.99996080431401,,0
101,CPU version,50,100.0,256,16,5,1743.0,3.8498688,0.99996078351973,,1
102,CPU version,51,0.1,256,16,5,1741.0,3.8453088,0.98801890997947,,0
103,CPU version,51,0.1,256,16,5,1739.0,3.8409568,0.98803319556879,,1
104,CPU version,52,100.0,1024,16,5,1743.0,14.5600416,0.99985166798344,,0
